,City,Longitude,Latitude,DeltaSeconds
,师阡,108.24,27.52,-2822
,思南,108.23,27.94,-2825
,德江,108.13,28.27,-2849
,施秉,108.11,27.03,-2854
,雷山,108.07,26.38,-2863
,凯里,107.97,26.59,-2887
,黄平,107.89,26.89,-2906
,余庆,107.88,27.22,-2909
,荔波,107.88,25.42,-2909
,务川,107.87,28.54,-2911
,三都,107.86,26,-2914
,丹寨,107.79,26.21,-2930
,凤冈,107.72,27.97,-2947
,道真,107.6,28.89,-2976
,麻江,107.58,26.49,-2981
,平塘,107.55,25.83,-2988
,独山,107.54,25.84,-2990
,都匀,107.53,26.72,-2993
,福泉,107.51,26.7,-2998
,湄潭,107.5,27.76,-3000
,瓮安,107.48,27.08,-3005
,正安,107.43,28.56,-3017
,贵定,107.22,26.58,-3067
,绥阳,107.19,27.95,-3074
,龙里,106.98,26.46,-3125
,开阳,106.95,27.06,-3132
,遵义,106.9,27.7,-3144
,桐梓,106.8,28.16,-3168
,罗甸,106.74,25.43,-3182
,息烽,106.73,27.1,-3185
,贵阳,106.71,26.57,-3190
,惠水,106.66,26.14,-3202
,修文,106.59,26.84,-3218
,清镇,106.46,26.56,-3250
,长顺,106.45,26.03,-3252
,仁怀,106.41,27.81,-3262
,平坝,106.26,26.42,-3298
,金沙,106.22,27.46,-3307
,习水,106.2,28.33,-3312
,望谟,106.09,25.17,-3338
,紫云,106.06,25.75,-3346
,黔西,106.04,27.03,-3350
,安顺,105.92,26.25,-3379
,册亭,105.79,25,-3410
,织金,105.76,26.66,-3418
,普定,105.75,26.32,-3420
,镇宁,105.75,26.08,-3420
,赤水,105.69,28.57,-3434
,贞丰,105.63,25.39,-3449
,关岭,105.62,25.94,-3451
,大方,105.61,27.16,-3454
,安龙,105.49,25.11,-3482
,六枝,105.47,26.21,-3487
,钠雍,105.38,26.77,-3509
,毕节,105.29,27.32,-3530
,晴龙,105.21,25.83,-3550
,兴仁,105.18,25.44,-3557
,普安,104.96,25.79,-3610
,兴义,104.91,25.1,-3622
,水城,104.82,26.58,-3643
,六盘水,104.82,26.58,-3643
,赫章,104.71,27.13,-3670
,盘县,104.64,25.81,-3686
,威宁,104.28,26.87,-3773
云南省,富宁,105.6,23.62,-3456
,广南,105.09,24.05,-3578
,威信,105.05,27.85,-3588
,镇雄,104.86,27.42,-3634
,麻栗坡,104.71,23.12,-3670
,西畴,104.68,23.42,-3677
,陆良,104.64,25.04,-3686
,马关,104.4,23.01,-3744
,永富,104.38,28.62,-3749
,砚山,104.35,23.62,-3756
,罗平,104.3,24.88,-3768
,盐津,104.28,28.08,-3773
,富源,104.24,25.67,-3782
,文山,104.24,23.37,-3782
,丘北,104.19,24.03,-3794
,宣威,104.09,26.24,-3818
,彝良,104.06,27.61,-3826
,河口,103.98,22.52,-3845
,绥江,103.97,28.58,-3847
,师宗,103.97,24.85,-3847
,大关,103.91,27.74,-3862
,沽益,103.82,25.62,-3883
,曲靖,103.79,25.51,-3890
,泸西,103.76,24.52,-3898
,昭通,103.7,29.32,-3912
,屏边,103.67,22.68,-3919
,永善,103.63,28.22,-3929
,马龙,103.61,25.41,-3934
,鲁甸,103.54,27.21,-3950
,弥勒,103.43,24.41,-3977
,蒙自,103.41,23.36,-3982
,会泽,103.27,26.41,-4015
,寻甸,103.25,25.56,-4020
,金平,103.24,22.77,-4022
,路南,103.24,24.77,-4022
,开远,103.23,23.7,-4025
,宜良,103.12,24.9,-4051
,嵩明,103.03,25.35,-4073
,华宁,102.93,24.26,-4097
,巧家,102.92,26.9,-4099
,澄江,102.91,24.68,-4102
,元阳,102.81,23.17,-4126
,呈贡,102.79,24.9,-4130
,建水,102.79,23.64,-4130
,通海,102.75,24.09,-4140
,江川,102.73,24.27,-4145
,昆明,102.73,25.04,-4145
,晋宁,102.58,24.68,-4181
,玉溪,102.52,24.35,-4195
,富民,102.48,25.21,-4205
,石屏,102.48,23.73,-4205
,禄劝,102.45,25.58,-4212
,安宁,102.44,24.95,-4214
,个旧,102.43,23.35,-4217
,红河,102.42,23.35,-4219
,绿春,102.42,23.01,-4219
,峨山,102.38,24.16,-4229
,武定,102.36,25.55,-4234
,易门,102.15,24.67,-4284
,禄丰,102.08,25.15,-4301
,元江,102,23.59,-4320
,新平,101.98,24.06,-4325
,江城,101.88,22.58,-4349
,元谋,101.85,25.7,-4356
,黑江,101.71,23.4,-4390
,永仁,101.7,26.07,-4392
,双柏,101.67,24.68,-4399
,牟定,101.58,25.32,-4421
,勐腊,101.56,21.48,-4426
,楚雄,101.54,25.01,-4430
,大姚,101.34,25.73,-4478
,南华,101.26,25.21,-4498
,华坪,101.24,26.63,-4502
,姚安,101.24,25.4,-4502
,普洱,101,22.79,-4560
,镇沅,100.88,23.9,-4589
,景东,100.82,24.42,-4603
,宁蒗,100.82,27.29,-4603
,景洪,100.79,22,-4610
,永胜,100.76,26.71,-4618
,景谷,100.71,23.5,-4630
,祥云,100.56,25.48,-4666
,宾川,100.55,25.82,-4668
,弥渡,100.52,25.34,-4675
,南涧,100.51,25.04,-4678
,勐海,100.5,21.95,-4680
,巍山,100.33,25.23,-4721
,丽江,100.25,26.86,-4740
,下关,100.24,25.45,-4742
,大理,100.19,25.69,-4754
,鹤庆,100.18,26.55,-4757
,云县,100.12,24.44,-4771
,临沦,100.09,23.88,-4778
,漾濞,99.98,25.68,-4805
,澜沦,99.97,22.55,-4807
,洱源,99.94,26.1,-4814
,凤庆,99.92,24.58,-4819
,剑川,99.88,26.53,-4829
,双江,99.85,23.45,-4836
,中甸,99.72,27.78,-4867
,昌宁,99.61,24.82,-4894
,孟连,99.55,22.32,-4908
,永平,99.52,25.45,-4915
,西盟,99.47,22.73,-4927
,耿马,99.41,23.56,-4942
,云龙,99.39,25.9,-4946
,兰坪,99.29,26.49,-4970
,维西,99.27,27.15,-4975
,永德,99.25,24.03,-4980
,沧源,99.24,23.15,-4982
,保由,99.18,25.12,-4997
,施甸,99.15,24.69,-5004
,镇康,99.02,23.92,-5035
,碧江,98.95,26.55,-5052
,德钦,98.93,28.49,-5057
,福贡,98.92,26.89,-5059
,泸水,98.82,25.97,-5083
,龙陵,98.7,24.58,-5112
,贡山,98.65,27.73,-5124
,潞西,98.6,24.41,-5136
,腾冲,98.51,25.01,-5158
,梁河,98.3,24.78,-5208
,畹町,98.08,24.08,-5261
,陇川,97.96,24.33,-5290
,盈江,97.93,24.69,-5297
,瑞丽,97.83,24,-5321
西藏自治区,芒康,98.68,29.64,-5117
,贡觉,98.29,30.86,-5210
,左贡,97.9,29.68,-5304
,察雅,97.56,30.69,-5386
,察隅,97.49,28.62,-5402
,吕都,97.14,31.18,-5486
,八宿,96.95,30.04,-5532
,类乌齐,96.57,31.2,-5623
,洛隆,95.76,30.81,-5818
,波密,95.75,29.92,-5820
,丁青,95.63,31.42,-5849
,墨脱,95.26,29.22,-5938
,边坝,94.69,30.94,-6074
,林芝,94.25,29.59,-6180
,米林,94.13,29.18,-6209
,巴青,94.1,31.96,-6216
,索县,93.71,31.92,-6310
,比如,93.68,31.53,-6317
,嘉黎,93.46,30.63,-6370
,工布江达,93.25,29.92,-6420
,朗县,93.11,29.06,-6454
,加查,92.6,29.09,-6576
,隆子,92.42,28.46,-6619
,聂荣,92.3,31.08,-6648
,曲松,92.11,29.08,-6694
,那曲,92.1,31.47,-6696
,桑日,92,29.26,-6720
,错那,91.91,27.98,-6742
,墨竹工卡,91.77,29.77,-6775
,乃东,91.76,29.18,-6778
,安多,91.68,32.29,-6797
,穷结,91.65,29.04,-6804
,措美,91.4,28.49,-6864
,达孜,91.39,29.63,-6866
,扎囊,91.26,29.22,-6898
,林周,91.24,30.2,-6902
,拉萨,91.11,29.97,-6934
,当雄,91.05,30.51,-6948
,贡嘎,90.96,29.25,-6970
,堆龙德庆,90.96,29.67,-6970
,洛扎,90.83,28.42,-7001
,曲水,90.7,29.39,-7032
,浪卡子,90.33,29.96,-7121
,尼木,90.14,29.44,-7166
,班戈,90.05,31.35,-7188
,仁布,89.77,29.21,-7255
,康马,89.67,28.57,-7279
,江孜,89.63,28.94,-7289
,江达,89.19,31.53,-7394
,白朗,89.16,29.11,-7402
,南木林,89.02,29.71,-7435
,亚东,88.93,27.55,-7457
,日喀则,88.82,29.28,-7483
,申扎,88.7,30.94,-7512
,岗巴,88.5,28.29,-7560
,谢通门,88.25,29.43,-7620
,萨迦,88,28.87,-7680
,定结,87.77,28.38,-7735
,拉孜,87.62,29.1,-7771
,昂仁,87.22,29.3,-7867
,定日,87.11,28.57,-7894
,聂拉木,85.94,28.19,-8174
,萨嘎,85.3,29.38,-8328
,吉隆,85.29,28.94,-8330
,措勤,85.16,31.06,-8362
,仲巴,84.15,29.66,-8604
,改则,84.1,32.33,-8616
,普兰,81.18,30.37,-9317
,革吉,81.13,32.45,-9329
,噶尔,80,32.08,-9600
,扎达,79.76,31.47,-9658
,日上,79.61,33.44,-9694
广西壮族自治区,贺县,111.54,24.44,-2030
,梧州,111.34,23.51,-2078
,钟山,111.3,24.53,-2088
,苍悟,111.22,23.51,-2107
,灌阳,111.14,25.49,-2126
,全州,111.06,25.96,-2146
,岑溪,111,22.95,-2160
,藤县,110.9,23.36,-2184
,恭城,110.81,24.85,-2206
,昭平,110.8,24.18,-2208
,资源,110.66,26.03,-2242
,兴安,110.66,25.6,-2242
,平乐,110.66,24.64,-2242
,蒙山,110.54,24.22,-2270
,容县,110.53,22.87,-2273
,平南,110.4,23.55,-2304
,荔浦,110.38,24.51,-2309
,灵川,110.33,25.42,-2321
,北流,110.33,22.71,-2321
,桂林,110.28,25.29,-2333
,富川,110.26,24.83,-2338
,陆川,110.25,22.33,-2340
,临桂,110.22,25.22,-2347
,金秀,110.18,24.14,-2357
,玉林,110.14,22.64,-2366
,桂平,110.07,23.38,-2383
,龙胜,110.02,25.78,-2395
,博白,109.98,22.27,-2405
,永福,109.98,24.99,-2405
,鹿寨,109.74,24.49,-2462
,象州,109.7,23.98,-2472
,武宜,109.66,23.6,-2482
,贵县,109.6,23.11,-2496
,三江,109.58,25.8,-2501
,浦北,109.56,22.27,-2506
,柳州,109.4,24.33,-2544
,融安,109.37,24.24,-2551
,柳江,109.34,24.27,-2558
,灵山,109.29,22.44,-2570
,来宾,109.24,23.76,-2582
,融水,109.24,25.07,-2582
,柳城,109.24,24.67,-2582
,合浦,109.2,21.33,-2592
,横县,109.2,22.69,-2592
,北海,109.12,21.49,-2611
,罗城,108.9,24.79,-2664
,合山,108.89,23.82,-2666
,宾阳,108.8,23.22,-2688
,忻城,108.66,24.07,-2722
,宜山,108.64,24.47,-2726
,钦州,108.61,21.96,-2734
,上林,108.59,23.44,-2738
,邕宁,108.49,22.74,-2762
,防城,108.35,21.78,-2796
,南宁,108.33,22.84,-2801
,武鸣,108.27,23.17,-2815
,环江,108.26,24.83,-2818
,马山,108.2,23.73,-2832
,都安,108.09,23.94,-2858
,河池,108.06,24.7,-2866
,上思,107.98,22.16,-2885
,扶绥,107.92,22.65,-2899
,隆安,107.68,23.18,-2957
,平果,107.59,23.33,-2978
,南丹,107.54,24.98,-2990
,崇左,107.37,22.42,-3031
,东兰,107.36,24.53,-3034
,巴马,107.25,24.15,-3060
,大新,107.21,22.85,-3070
,天峨,107.16,25.01,-3082
,天等,107.12,23.08,-3091
,田东,107.12,23.62,-3091
,宁明,107.08,22.12,-3101
,凤山,107.05,24.55,-3108
,田阳,106.9,23.75,-3144
,龙州,106.84,22.36,-3158
,凭祥,106.75,22.11,-3180
,百色,106.62,23.91,-3211
,德保,106.6,23.34,-3216
,乐业,106.56,24.78,-3226
,凌云,106.55,24.35,-3228
,靖西,106.41,23.15,-3262
,田林,106.24,24.31,-3302
,那坡,105.85,23.42,-3396
,隆林,105.34,24.8,-3518
,西林,105.08,24.51,-3581
甘肃省,庄宁,108.43,35.5,-2777
,合水,108.02,35.81,-2875
,华池,108,36.44,-2880
,宁县,107.94,35.17,-2894
,庆阳,107.88,36.03,-2909
,灵台,107.61,35.1,-2974
,泾川,107.38,35.31,-3029
,环县,107.33,36.57,-3041
,镇源,107.22,35.7,-3067
,崇信,107.05,35.27,-3108
,平凉,106.68,35.51,-3197
,华亭,106.65,35.21,-3204
,两当,106.28,33.9,-3293
,张家川,106.23,35,-3305
,清水,106.12,34.73,-3331
,徽县,106.11,33.78,-3334
,庄浪,106.06,35.2,-3346
,静宁,105.73,35.51,-3425
,成县,105.7,33.75,-3432
,秦安,105.69,34.89,-3434
,天水,105.69,34.6,-3434
,康县,105.58,33.33,-3461
,甘谷,105.35,34.7,-3516
,西和,105.28,34.02,-3533
,通渭,105.27,35.24,-3535
,礼县,105.15,34.22,-3564
,会宁,105.08,35.72,-3581
,武都,104.94,33.43,-3614
,武山,104.88,34.69,-3629
,靖远,104.71,36.54,-3670
,文县,104.7,32.95,-3672
,陇西,104.61,34.98,-3694
,定西,104.57,35.57,-3703
,漳县,104.48,34.87,-3725
,宕昌,104.38,34.06,-3749
,舟曲,104.38,33.81,-3749
,渭源,104.19,35.17,-3794
,榆中,104.09,35.87,-3818
,景泰,104.05,37.14,-3828
,岷县,104.04,34.41,-3830
,皋兰,103.97,36.32,-3847
,临洮,103.88,35.39,-3869
,兰州,103.73,36.03,-3905
,康乐,103.68,35.39,-3917
,广河,103.54,35.46,-3950
,卓尼,103.54,34.61,-3950
,东乡,103.39,35.68,-3986
,临潭,103.35,34.69,-3996
,永靖,103.34,35.97,-3998
,和政,103.31,35.43,-4006
,永登,103.25,36.73,-4020
,迭部,103.23,34.08,-4025
,临夏,103.22,35.62,-4027
,民勤,103.08,38.62,-4061
,古浪,102.86,37.43,-4114
,积石山,102.85,35.74,-4116
,天祝,102.84,37.24,-4118
,武威,102.61,37.94,-4174
,碌曲,102.5,34.6,-4200
,下河,102.46,35.21,-4210
,玛曲,102.04,33.97,-4310
,永昌,101.94,38.23,-4334
,山丹,101.19,38.79,-4514
,民乐,100.85,38.43,-4596
,张掖,100.46,38.93,-4690
,临泽,100.17,39.14,-4759
,高台,99.84,39.14,-4838
,肃南,99.57,38.86,-4903
,金塔,98.92,39.97,-5059
,酒泉,98.5,39.71,-5160
,玉门,97.58,39.81,-5381
,安西,95.77,40.51,-5815
,肃北,94.89,39.49,-6026
,敦煌,94.71,40.13,-6070
,阿克塞,94.25,38.46,-6180
青海省,民和,102.8,36.3,-4128
,循化,102.46,35.84,-4210
,乐都,102.38,36.49,-4229
,化隆,102.3,36.11,-4248
,平安,102.09,36.47,-4298
,同仁,102,35.54,-4320
,尖扎,102,35.92,-4320
,互助,101.95,36.84,-4332
,西宁,101.74,36.56,-4382
,大通,101.67,36.92,-4399
,河南,101.62,34.75,-4411
,门源,101.62,37.37,-4411
,湟中,101.57,36.49,-4423
,泽库,101.5,35.03,-4440
,贵德,101.47,36.02,-4447
,久治,101.47,33.46,-4447
,湟源,101.28,36.72,-4493
,海晏,100.99,36.89,-4562
,贵南,100.75,35.57,-4620
,班玛,100.73,32.92,-4625
,同德,100.63,35.24,-4649
,共和,100.61,36.27,-4654
,玛沁,100.26,34.49,-4738
,祁连,100.22,38.2,-4747
,刚察,100.17,37.32,-4759
,兴海,99.99,35.6,-4802
,甘德,99.89,33.95,-4826
,达日,99.68,33.74,-4877
,天峻,99.03,37.28,-5033
,乌兰,98.46,36.9,-5170
,玛多,98.26,34.92,-5218
,都兰,98.13,36.3,-5249
,称多,97.12,33.35,-5491
,玉树,96.97,33.03,-5527
,囊谦,96.47,32.23,-5647
,治多,95.6,33.86,-5856
,曲麻菜,95.5,34.52,-5880
,杂多,95.3,32.92,-5928
,格尔木,94.9,36.41,-6024
宁夏回族自治区,盐池,107.41,37.78,-3022
,陶乐,106.69,38.82,-3194
,平罗,106.54,38.91,-3230
,石嘴山,106.39,39.04,-3266
,贺兰,106.35,38.55,-3276
,灵武,106.34,38.1,-3278
,泾源,106.33,35.5,-3281
,固原,106.28,36.01,-3293
,银川,106.27,38.47,-3295
,永宁,106.24,38.28,-3302
,吴忠,106.21,37.99,-3310
,隆德,106.11,35.63,-3334
,青铜峡,106.07,38.02,-3343
,同心,105.94,36.97,-3374
,西吉,105.7,35.97,-3432
,中宁,105.66,37.48,-3442
,海原,105.64,36.56,-3446
,中卫,105.18,37.51,-3557
海南省,文昌,110.72,19.61,-2227
,琼海,110.46,19.25,-2290
,万宁,110.39,18.8,-2306
,海口,110.35,20.02,-2316
,琼山,110.33,19.98,-2321
,定安,110.31,19.68,-2326
,屯昌,110.1,19.36,-2376
,陵水,110.02,18.48,-2395
,澄迈,110,19.75,-2400
,琼中,109.83,19.05,-2441
,保亭,109.7,18.64,-2472
,临高,109.69,19.91,-2474
,儋县,109.57,19.52,-2503
,崖县,109.5,18.25,-2520
,白沙,109.44,19.23,-2534
,三亚,109.31,18.14,-2566
,乐东,109.17,18.73,-2599
,昌江,109.03,19.25,-2633
,东方,108.64,19.09,-2726
陕西省,府谷,111.07,39.05,-2143
,商南,110.88,33.54,-2189
,吴堡,110.73,37.49,-2225
,神木,110.51,38.83,-2278
,佳县,110.48,38.04,-2285
,韩城,110.45,35.47,-2292
,丹凤,110.35,33.71,-2316
,潼关,110.25,34.56,-2340
,绥德,110.24,37.49,-2342
,米脂,110.23,37.78,-2345
,延川,110.18,36.87,-2357
,清涧,110.15,37.11,-2364
,洛南,110.15,34.11,-2364
,宜川,110.15,36.04,-2364
,合阳,110.15,35.24,-2364
,华阴,110.09,34.58,-2378
,白河,110.06,32.83,-2386
,子洲,110.05,37.45,-2388
,延长,110.02,36.59,-2395
,商县,109.96,33.88,-2410
,人荔,109.96,34.82,-2410
,成城,109.93,35.2,-2417
,山阳,109.91,33.55,-2422
,黄龙,109.86,35.6,-2434
,华县,109.77,34.53,-2455
,榆林,109.77,38.3,-2455
,子长,109.65,37.16,-2484
,白水,109.6,35.18,-2496
,蒲城,109.59,34.97,-2498
,镇坪,109.51,31.91,-2518
,渭南,109.5,34.52,-2520
,延安,109.47,36.6,-2527
,洛川,109.42,35.76,-2539
,甘泉,109.37,36.29,-2551
,平利,109.37,32.41,-2551
,富县,109.37,36,-2551
,旬阳,109.35,32.83,-2556
,安寨,109.34,36.88,-2558
,蓝田,109.32,34.17,-2563
,横山,109.32,37.97,-2563
,黄陵,109.27,35.6,-2575
,临潼,109.22,34.38,-2587
,富平,109.17,34.76,-2599
,镇安,109.16,33.45,-2602
,柞水,109.14,33.69,-2606
,铜川,109.11,35.09,-2614
,宜君,109.11,35.43,-2614
,高陵,109.1,34.55,-2616
,安康,109.02,32.7,-2635
,耀县,108.98,34.91,-2645
,长安,108.97,34.18,-2647
,西安,108.95,34.27,-2652
,三原,108.94,34.62,-2654
,岚皋,108.89,32.3,-2666
,泾阳,108.84,34.53,-2678
,靖边,108.79,37.61,-2690
,志丹,108.78,36.84,-2693
,咸阳,108.72,34.36,-2707
,户县,108.61,34.12,-2734
,淳化,108.57,34.81,-2743
,紫阳,108.55,32.56,-2748
,汉阴,108.53,32.9,-2753
,兴平,108.49,34.32,-2762
,礼泉,108.43,34.5,-2777
,旬邑,108.33,35.13,-2801
,宁陕,108.33,33.34,-2801
,石泉,108.26,33.05,-2818
,乾县,108.25,34.54,-2820
,武功,108.22,34.28,-2827
,吴旗,108.22,36.93,-2827
,周至,108.22,34.18,-2827
,永寿,108.14,34.71,-2846
,彬县,108.09,35.04,-2858
,汉中,108.04,33.07,-2870
,佛坪,108,33.55,-2880
,镇巴,107.91,32.56,-2902
,扶风,107.87,34.38,-2911
,长武,107.8,35.22,-2928
,麟游,107.8,34.69,-2928
,西乡,107.77,33,-2935
,眉县,107.76,34.29,-2938
,岐山,107.63,34.46,-2969
,定边,107.59,37.6,-2978
,洋县,107.56,33.23,-2986
,凤翔,107.39,34.53,-3026
,城固,107.32,33.16,-3043
,太白,107.3,34.09,-3048
,宝鸡,107.15,34.38,-3084
,千阳,107.13,34.65,-3089
,留坝,106.95,33.65,-3132
,南郑,106.93,33,-3137
,陇县,106.86,34.91,-3154
,勉县,106.68,33.16,-3197
,凤县,106.51,33.93,-3238
,宁强,106.25,32.82,-3300
,略阳,106.16,33.34,-3322
